,Postal_Code,Latitude,Longitude,Admin_Code3,Nearest_Centroid_ID,Distance_to_Centroid
9156,27666,42.7975,-7.2865,27012,2701201001,26409.445020233325
9157,43700,41.2167,1.5333,43163,4316301002,274.8523816781667
9158,24722,42.4912,-6.3437,24152,2415201001,4999.917491107067
9159,48880,43.2724,-3.2569,48087,4808701001,2493.4877294813073
9160,33679,43.1676,-5.7379,33002,3300203002,1508.5883304594802
9161,15706,42.8805,-8.5457,15078,1507805001,163.0688605834295
9163,38670,28.1316,-16.7453,38001,3800101016,888.9753988840391
9164,1420,42.7897,-2.9074,01046,104601001,1941.2387013995015
9165,1194,42.8058,-2.6694,01016,101601001,17225.95469454946
9166,24217,42.5002,-5.4582,24095,2409501001,1648.482976661311
9167,42368,41.2915,-2.8163,42031,4203101001,474.0780384045069
9169,36618,42.632,-8.7603,36060,3606004001,985.0869090351816
9170,34306,42.1377,-4.8411,34048,3404801001,19501.489844878277
9172,31260,42.4832,-1.9718,31152,3115201001,1114.3146680307175
9173,39315,43.3206,-4.0542,39087,3908704004,939.7062209475067
9176,28729,40.8206,-3.6727,28094,2809401001,523.604836114167
9177,24397,42.64,-6.0719,24123,2412301001,5842.870618468098
9178,25151,41.4947,0.6728,25036,2503601001,281.4728585073717
9180,33529,43.4087,-5.4688,33040,3304001004,5109.771621069049
9181,17850,42.2029,2.6897,17021,1702101001,4607.201690026138
9182,15007,42.3749,-7.8049,15030,1503009007,115601.01486406804
9185,39715,43.3785,-3.6807,39028,3902801002,1157.1793286540715
9186,22372,42.5001,-0.1024,22069,2206901001,8087.451922834917
9187,32869,41.9301,-8.1141,32030,3203001001,2562.04518346939
9191,7191,39.6873,2.5141,07007,700701001,1313.7931064306022
9192,33676,43.1131,-5.6541,33002,3300203001,2486.935923104067
9194,13240,38.9442,-3.2381,13079,1307901001,266.5755585076848
9196,48291,43.1002,-2.5818,48091,4809101001,716.181759668304
9197,45692,39.8975,-4.5499,45089,4508901001,3033.3105784346562
9198,50156,41.1595,-1.042,50291,5029101001,2606.530070381542
9199,24228,42.5811,-5.5138,24175,2417501001,4580.201683305533
9200,32600,41.9165,-7.4274,32085,3208501008,1722.2088819125931
9203,39232,42.8721,-3.8787,09011,901101001,3428.231089018755
9207,33841,43.1599,-6.2493,33068,3306801001,6943.47176849182
9208,7160,39.5375,2.4481,07005,700501002,4512.285510474091
9212,9572,42.9815,-3.8328,09011,901101001,8807.25002752849
9214,35106,27.7482,-15.6257,35019,3501903011,917.7212227256705
9216,19490,40.8397,-2.7368,19004,1900401001,4034.6617963920944
9217,44493,41.0811,-1.0443,44138,4413801001,2648.1550115126993
9218,22213,41.8786,-0.1557,22137,2213701001,21952.14279537992
9220,33789,43.5496,-6.4418,33034,3303401006,1301.0151866394342
9221,48110,43.3777,-2.8877,48040,4804001001,1492.4183673996815
9222,32620,42.0614,-7.462,32039,3203901001,4312.5999027420785
9223,30319,37.6642,-1.0138,30016,3001610030,167.51789199281788
9224,33424,43.4395,-5.855,33035,3303501001,623.0568269512404
9227,15551,43.6,-8.1667,15087,1508701002,2132.4660138287354
9228,27730,43.3133,-7.4833,27001,2700101003,734.3731454466662
9229,1129,42.7951,-2.3963,01037,103701001,6494.415999058244
9230,26321,42.2985,-2.814,26095,2609501001,1607.2000629273273
9232,27233,42.9667,-7.6667,27023,2702301002,4706.88934967423
9235,33163,43.3003,-5.8841,33038,3303801001,1717.8498748352536
9236,32847,42.0312,-7.9749,32006,3200601001,308.2039520748368
9237,50300,41.3535,-1.6432,50067,5006702001,201.1484368728939
9238,22889,42.7878,-0.5288,22006,2200601001,10677.586352236194
9239,1139,42.9597,-2.842,01063,106301001,2780.7737326702295
9240,24740,42.2407,-6.422,24161,2416101001,28108.37775306492
9241,41439,37.5992,-5.2102,41901,4190101002,1925.3193218224376
9243,19325,40.7216,-1.6704,19271,1927101001,1284.2249130414705
9245,2489,38.282,-2.4229,02086,208601003,9626.60822386691
9250,43720,41.2667,1.6,43016,4301601002,978.9631415024304
9252,25142,41.6727,0.8177,25052,2505201001,686.8726014309372
9255,5300,40.8713,-4.9709,05065,506501001,1349.6583004298113
9256,1309,42.5655,-2.6332,01031,103101001,1008.0990668875396
9258,30566,38.0282,-1.2419,00nan,3003801004,167.186505608244
9259,13071,38.9863,-3.9291,00nan,1303402001,140.08509814034116
9260,15186,43.2528,-8.3868,15024,1502401002,7315.301280423798
9261,22482,42.2973,0.5354,22129,2212901001,745.3713134724898
9262,33311,43.4614,-5.4534,33076,3307601003,2335.8024309905663
9263,25331,41.7006,1.0436,25003,2500301003,6205.178617037406
9266,49022,41.5063,-5.7446,49275,4927501003,47.17414073498191
9267,12414,39.8667,-0.4667,12125,1212501001,3539.691272509297
9268,20214,43.0124,-2.2726,20057,2005701001,1845.812966992542
