POI,Lon,Lat,Address
metro,2.168588,41.3872,"Caixabank, Plaça Catalunya, 7, 08002 Barcelona, Spain"
metro,2.169507,41.387625,"Catalonia Square, Plaça de Catalunya, 08001 Barcelona, Spain"
metro,2.187344,41.408643,"Carrer d'Aragó, 08026 Barcelona, Spain"
metro,2.187148,41.409242,"Avinguda Meridiana, 140-132, 08026 Barcelona, Spain"
metro,2.187202,41.410828,"Avinguda Meridiana, 162-158, 08026 Barcelona, Spain"
metro,2.18753,41.411218,"Carrer de la Muntanya, 28, 08026 Barcelona, Spain"
metro,2.148309,41.375344,"Catalonia Barcelona Plaza, Plaça Espanya, 08015 Barcelona, Spain"
metro,2.149455,41.375546,"Gran Via de les Corts Catalanes (lateral muntanya), 373-385, 08015 Barcelona, Spain"
metro,2.148801,41.37538,"Plaça d'Espanya, 08015 Barcelona, Spain"
metro,2.183562,41.430861,"Col·legi Jesús Maria i Josep, Avinguda Meridiana, 392, 08030 Barcelona, Spain"
metro,2.183464,41.431138,"Avinguda Meridiana, 08016 Barcelona, Spain"
metro,2.184196,41.428993,"Concepció Arenal, Avinguda Meridiana, 08016 Barcelona, Spain"
metro,2.183628,41.430467,"Col·legi Jesús Maria i Josep, Avinguda Meridiana, 392, 08030 Barcelona, Spain"
metro,2.183584,41.430093,"Avinguda Meridiana, 08016 Barcelona, Spain"
metro,2.183324,41.430459,"Estació Fabra i Puig, 08016 Barcelona, Spain"
metro,2.110681,41.368521,"Plaça dels Blocs de la Florida, 20, 08905 l'Hospitalet de Llobregat, Spain"
metro,2.110396,41.367873,"Plaça dels Blocs de la Florida, 08905 l'Hospitalet de Llobregat, Spain"
metro,2.110875,41.368376,"Avinguda de Catalunya, 08905 l'Hospitalet de Llobregat, Spain"
metro,2.217787,41.451728,"Carrer de Beethoven, 41, 08922 Santa Coloma de Gramenet, Spain"
metro,2.217064,41.451761,"Rambla del Fondo, 15, 08922 Santa Coloma de Gramenet, Spain"
metro,2.21861,41.451596,"Rambla del Fondo, 46, 08922 Santa Coloma de Gramenet, Spain"
metro,2.187098,41.402063,"Plaça Josep Antoni Coderch, 36, 08018 Barcelona, Spain"
metro,2.18834,41.402984,"Disseny Hub Barcelona (DHUB), Plaça Santiago Pey, 37, 08018 Barcelona, Spain"
metro,2.187238,41.402882,"Plaça Josep Antoni Coderch, 08018 Barcelona, Spain"
metro,2.187513,41.402698,"Plaça Josep Antoni Coderch, 08018 Barcelona, Spain"
metro,2.106694,41.344339,"University Hospital of Bellvitge, Autovia de Castelldefels, 08907 l'Hospitalet de Llobregat, Spain"
metro,2.106409,41.34472,"University Hospital of Bellvitge, Autovia de Castelldefels, 08907 l'Hospitalet de Llobregat, Spain"
metro,2.144523,41.375356,"Carrer de la Creu Coberta, 74, 08014 Barcelona, Spain"
metro,2.143445,41.375552,"Carrer del Consell de Cent, 11, 08014 Barcelona, Spain"
metro,2.142362,41.375134,"Carrer de la Creu Coberta, 111, 08014 Barcelona, Spain"
metro,2.143991,41.375292,"Carrer de la Creu Coberta, 82, 08014 Barcelona, Spain"
metro,2.187227,41.421981,"Avinguda Meridiana, 290, 08027 Barcelona, Spain"
metro,2.187272,41.423089,"Avinguda Meridiana, 08027 Barcelona, Spain"
metro,2.187198,41.422492,"Avinguda Meridiana, 296, 08027 Barcelona, Spain"
metro,2.186428,41.39558,"Avinguda Meridiana, 08018 Barcelona, Spain"
metro,2.187072,41.395422,"Avinguda Meridiana, 30-32, 08018 Barcelona, Spain"
metro,2.186842,41.395574,"Avinguda Meridiana, 08018 Barcelona, Spain"
metro,2.13319,41.373293,"Carrer d'Antoni de Capmany, 69, 08014 Barcelona, Spain"
metro,2.133647,41.372953,"Carrer de la Riera de Tena, 08014 Barcelona, Spain"
metro,2.134546,41.374172,"CSA Can Vies, Carrer dels Jocs Florals, 42, 08014 Barcelona, Spain"
metro,2.134031,41.373543,"Mercat Nou, Carrer d'Antoni de Capmany, 08014 Barcelona, Spain"
metro,2.187294,41.416721,"Avinguda Meridiana, 238, 08027 Barcelona, Spain"
metro,2.187229,41.415812,"Carrer de Palència, 5B, 08027 Barcelona, Spain"
metro,2.187086,41.416156,"Avinguda Meridiana, 220, 08027 Barcelona, Spain"
metro,2.137493,41.37525,"Centre Cívic Cotxeres de Sants, Carrer de Sants, 79-81, 08014 Barcelona, Spain"
metro,2.138801,41.375217,"Carrer de Sants, 35, 08014 Barcelona, Spain"
metro,2.137301,41.37557,"Tacones, Carrer de Sants, 66, 08014 Barcelona, Spain"
metro,2.138845,41.375468,"Carrer de Sants, 40, 08014 Barcelona, Spain"
metro,2.138493,41.375542,"Carrer de Sants, 48-50, 08014 Barcelona, Spain"
metro,2.100302,41.362977,"Carrer del Bruc, 32, 08901 l'Hospitalet de Llobregat, Spain"
metro,2.100569,41.363695,"Avinguda de Josep Tarradellas i Joan, 08901 l'Hospitalet de Llobregat, Spain"
metro,2.099718,41.36366,"Avinguda de Josep Tarradellas i Joan, 193, 08801 l'Hospitalet de Llobregat, Spain"
metro,2.100304,41.364232,"vies 2, 3 i 4, Avinguda de Josep Tarradellas i Joan, 08901 l'Hospitalet de Llobregat, Spain"
metro,2.153966,41.37907,"Carrer de Rocafort, 80, 08015 Barcelona, Spain"
metro,2.154406,41.378685,"Gran Via de les Corts Catalanes, 448, 08015 Barcelona, Spain"
metro,2.15517,41.379461,"Gran Via de les Corts Catalanes, 08015 Barcelona, Spain"
metro,2.154913,41.379656,"Gran Via de les Corts Catalanes, 08015 Barcelona, Spain"
metro,2.154456,41.379149,"Gran Via de les Corts Catalanes (lateral mar), 08015 Barcelona, Spain"
metro,2.191104,41.437806,"Passeig de Torras i Bages, 08030 Barcelona, Spain"
metro,2.19105,41.436433,"Passeig de Torras i Bages, 08030 Barcelona, Spain"
metro,2.190747,41.437324,"Carrer de Joan Torras, 8I, 08030 Barcelona, Spain"
metro,2.207988,41.451908,"Xòcala Bar, Plaça de la Vila, 4, 08921 Santa Coloma de Gramenet, Spain"
