POI,Lon,Lat,Address
metro,-0.4182187,39.4321018,"Paiporta, Avenida de Francisco Císcar, 46200 Paiporta, Spain"
metro,-0.4187199,39.5018496,"Benimàmet, Carrer del Miniaturista Messeguer, 46035 Valencia, Spain"
metro,-0.4227833,39.4754869,"Mislata Almassil, Avinguda de Gregorio Gea, 46920 Mislata, Spain"
metro,-0.4249245,39.4990148,"Les Carolines-Fira, Avinguda de l'Estació, 46035 Valencia, Spain"
metro,-0.4334105,39.4776777,"Faitanar, Carrer Reverendo Padre José Palacios, 46950 Quart de Poblet, Spain"
metro,-0.4352732,39.4958186,"Campament, Carrer Doctor Machi, 46035 Paterna, Spain"
metro,-0.437095,39.4332275,"Picanya, Avinguda de Jaume I, 3, 46210 Picanya, Spain"
metro,-0.4417848,39.480827,"Quart de Poblet, Carrer del Roll de les Eres, 46930 Quart de Poblet, Spain"
metro,-0.4419403,39.4988913,"Paterna, Plaça de l'Estació, 46930 Paterna, Spain"
metro,-0.4428387,39.5819969,"Horta Vella, CV-3106, 46117 Bétera, Spain"
metro,-0.4504393,39.4853071,"Salt de l'Aigua, Avenida de la Generalitat Valenciana, 46930 Manises, Spain"
metro,-0.455317,39.5059042,"Santa Rita, Calle del Testar, 46988 Paterna, Spain"
metro,-0.457496,39.5907287,"Bétera, Carrer de l'Estació, 46117 Bétera, Spain"
metro,-0.4594256,39.4895834,"Manises, Calle de Pizarro, 46940 Manises, Spain"
metro,-0.4602511,39.4112747,"Col·legi El Vedat, Carretera de Torrent a Picassent, 46900 Torrent, Spain"
metro,-0.460926,39.4360982,"Torrent, Carrer de l'Estació, 46900 Torrent, Spain"
metro,-0.4637445,39.460971,"Aldaia, Carrer de Luis Portabella, 46960 Aldaia, Spain"
metro,-0.4640764,39.5111574,"Fuente del Jarro, Calle Islas Canarias, 46988 Paterna, Spain"
metro,-0.4646699,39.3630565,"Picassent, Carrer de l'Estació, 46290 Picassent, Spain"
metro,-0.4671275,39.3843789,"Sant Ramon, Carrer Iberia, 46220 Picassent, Spain"
metro,-0.4671623,39.4926732,"Roses, Calle de las Rosas, 46940 Manises, Spain"
metro,-0.4686776,39.3264194,"Espioca, Urbanització La Coma, 46229 Picassent, Spain"
metro,-0.4726324,39.4316826,"Torrent Avinguda, Plaça de la Unió Musical de Torrent, 46900 Torrent, Spain"
metro,-0.4737535,39.353152,"Omet, Carrer N-1, 46220 Picassent, Spain"
metro,-0.474374,39.4921903,"Aeroport, Eixides / Salidas, 46940 Manises, Spain"
metro,-0.4847032,39.4989133,"La Cova, Carrer del Rincó d'Ademús, 46940 Manises, Spain"
metro,-0.487025,39.5269279,"La Canyada, 23, 46182 Paterna, Spain"
metro,-0.4982292,39.5379633,"367, 46182 Paterna, Spain"
metro,-0.5140523,39.5433341,"Entrepins, Calle de Pobla de Vallbona, 46181 l'Eliana, Spain"
metro,-0.5159906,39.5170789,"la Presa, Senda Purito, 46182 Manises, Spain"
metro,-0.5279753,39.5499038,"El Clot, Calle de Ramón Lahuerta, 46183 Riba-roja de Túria, Spain"
metro,-0.5318048,39.5554391,"Montesol, Carrer del Rei En Jaume, 46183 l'Eliana, Spain"
metro,-0.5342266,39.5304813,"València la Vella, Calle las Cañas, 46190 Riba-roja de Túria, Spain"
metro,-0.5358678,39.5616973,"L'Eliana, Calle del Padre Damián, 46183 l'Eliana, Spain"
metro,-0.5466326,39.5382647,"Masia de Traver, Carrer de la Séquia na Rosella, 46190 Riba-roja de Túria, Spain"
metro,-0.5594273,39.5433067,"Riba-roja de Túria, Carrer de la Senyera, 46190 Riba-roja de Túria, Spain"
metro,-0.5673778,39.4856724,"Loriguilla - Reva, Paseo de la Estación, 46393 Loriguilla, Spain"
metro,-0.5783058,39.5926935,"Fondo de Benaguasil, Calle de Valencia, 46180 Benaguasil, Spain"
metro,-0.5842003,39.598988,"Benaguasil, Carrer de la Bàscula, 46180 Benaguasil, Spain"
metro,-0.5907218,39.6225864,"Llíria, Carrer de Juan Izquierdo, 46160 Llíria, Spain"
street_Blasco,-0.3352287,39.4701833,"unnamed road, 46011 Valencia, Spain"
street_Blasco,-0.3362802,39.4705974,"Carrer de Josep Ballester, 46022 Valencia, Spain"
street_Blasco,-0.3375891,39.4710281,"Avinguda de Blasco Ibáñez, 46022 Valencia, Spain"
street_Blasco,-0.3390911,39.4714587,"Plaça del Pintor Anglada, 46022 Valencia, Spain"
street_Blasco,-0.3403357,39.4719722,"Plaça del Pintor Anglada, 46022 Valencia, Spain"
street_Blasco,-0.3419664,39.4723366,"Avinguda de Blasco Ibáñez, 46022 Valencia, Spain"
street_Blasco,-0.3433397,39.4728832,"Plaça d'Emilio Attard, 46021 Valencia, Spain"
street_Blasco,-0.3445199,39.4731483,"Plaça d'Emilio Attard, 46021 Valencia, Spain"
street_Blasco,-0.3459361,39.4735789,"Plaça d'Emilio Attard, 46021 Valencia, Spain"
street_Blasco,-0.3471807,39.4739267,"Plaça d'Emilio Attard, 46021 Valencia, Spain"
